url,title,date_extracted,content,category
https://www.1tv.ru/news/2008-05-25/189729-pervye_vizity_prezidenta_rossii_dmitriya_medvedeva_v_kazahstan_i_v_kitay,Первые визиты Президента России Дмитрия Медведева в Казахстан и в Китай,2008-05-25,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-04-20/194185-v_ssha_otkroetsya_novyy_telekanal_o_chastnoy_zhizni_zvezd,В США откроется новый телеканал о частной жизни звезд,2008-04-20,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/2008-06-06/190396-vo_vremya_pozhara_na_suhogruze_enisey_pogibli_7_chelovek_troe_poluchili_raneniya,"Во время пожара на сухогрузе «Енисей» погибли 7 человек, трое получили ранения",2008-06-06,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",
https://www.1tv.ru/news/mir/2008-04-07,Новости рубрики «В мире» за  7 апреля 2008 года,2008-04-07,"В Париже сторонники независимости Тибета загнали Олимпийский огонь в автобус
Олимпийский огонь покидает негостеприимную французскую столицу. Спортивный праздник в Париже сорван из-за массовых протестов.
07 апреля 2008, 21:10",mir
https://www.1tv.ru/news/2008-06-08/190478-na_ukraine_rezko_obostrilas_borba_mezhdu_viktorom_yuschenko_i_yuliey_timoshenko,На Украине резко обострилась борьба между Виктором Ющенко и Юлией Тимошенко,2008-06-08,"В России изменят правила бронирования гостиниц с 1 марта
Так, например, в договоре бронирования вводится обязанность указывать площадь номера.
Сегодня, 14:30",
https://www.1tv.ru/news/2008-06-12/190674-v_amurskoy_oblasti_rassleduyut_obstoyatelstva_zheleznodorozhnoy_avarii,В Амурской области расследуют обстоятельства железнодорожной аварии,2008-06-12,"В России изменят правила бронирования гостиниц с 1 марта
Так, например, в договоре бронирования вводится обязанность указывать площадь номера.
Сегодня, 14:30",
https://www.1tv.ru/news/2008-09-06/181230-na_pervom_kanale_nachinayut_sorevnovaniya_novye_uchastniki_teleshou_lednikovyy_period,На Первом канале начинают соревнования новые участники телешоу «Ледниковый период»,2008-09-06,"В России изменят правила бронирования гостиниц с 1 марта
Так, например, в договоре бронирования вводится обязанность указывать площадь номера.
Сегодня, 14:30",
https://www.1tv.ru/news/2008-03-26/192906-70_letniy_yubiley_otmechaet_akter_aleksey_petrenko,70-летний юбилей отмечает актер Алексей Петренко,2008-03-26,"В России изменят правила бронирования гостиниц с 1 марта
Так, например, в договоре бронирования вводится обязанность указывать площадь номера.
Сегодня, 14:30",
https://www.1tv.ru/news/odnako/2008-07-29,Новости рубрики «Аналитическая программа «Однако»» за 29 июля 2008 года,2008-07-29,"Аналитическая программа «Однако» с Михаилом Леонтьевым от 29.07.2008
Ведущий: «Однако, здравствуйте!
29 июля 2008, 21:27",odnako
https://www.1tv.ru/news/2008-12-24/180514-prezident_rf_dmitriy_medvedev_podvodit_itogi_uhodyaschego_goda,Президент РФ Дмитрий Медведев подводит итоги уходящего года,2008-12-24,"В России изменят правила бронирования гостиниц с 1 марта
Так, например, в договоре бронирования вводится обязанность указывать площадь номера.
Сегодня, 14:30",
